Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Mark Kinsella,Defensive Midfield,29,Charlton,Premier League,Aston Villa,Premier League,2002-2003,,1150000
Pablo Thiam,Defensive Midfield,29,Bayern Munich ,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2002-2003,,1000000
Philippe Brunel,Left Midfield,29,Marseille,Ligue 1,LOSC Lille,Ligue 1,2002-2003,,1000000
David Beckham,Right Midfield,28,Man Utd,Premier League,Real Madrid,LaLiga,2003-2004,,37500000
Ronaldinho,Attacking Midfield,23,Paris SG,Ligue 1,FC Barcelona,LaLiga,2003-2004,,32250000
Hernán Crespo,Centre-Forward,28,Inter,Serie A,Chelsea,Premier League,2003-2004,,26000000
Damien Duff,Right Midfield,24,Blackburn,Premier League,Chelsea,Premier League,2003-2004,,24500000
Adriano,Centre-Forward,21,Parma,Serie A,Inter,Serie A,2003-2004,,23400000
Juan Sebastián Verón,Central Midfield,28,Man Utd,Premier League,Chelsea,Premier League,2003-2004,,21500000
Sébastien Frey,Goalkeeper,23,Inter,Serie A,Parma,Serie A,2003-2004,,21000000
Claude Makélélé,Defensive Midfield,30,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,,20000000
José Antonio Reyes,Right Winger,20,Sevilla FC,LaLiga,Arsenal,Premier League,2003-2004,,20000000
Roy Makaay,Centre-Forward,28,Dep. La Coruña,LaLiga,Bayern Munich ,1.Bundesliga,2003-2004,,19750000
Adrian Mutu,Centre-Forward,24,Parma,Serie A,Chelsea,Premier League,2003-2004,,19000000
Louis Saha,Centre-Forward,25,Fulham,Premier League,Man Utd,Premier League,2003-2004,,17500000
Evanilson,Right-Back,27,Parma,Serie A,Bor. Dortmund,1.Bundesliga,2003-2004,,15000000
Scott Parker,Central Midfield,23,Charlton,Premier League,Chelsea,Premier League,2003-2004,,14000000
Michael Essien,Defensive Midfield,20,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,11700000
Pauleta,Centre-Forward,30,G. Bordeaux,Ligue 1,Paris SG,Ligue 1,2003-2004,,11000000
Wayne Bridge,Left-Back,22,Southampton,Premier League,Chelsea,Premier League,2003-2004,,10500000
Harry Kewell,Left Winger,24,Leeds,Premier League,Liverpool,Premier League,2003-2004,,10000000
Juan Riquelme,Attacking Midfield,25,FC Barcelona,LaLiga,Villarreal CF,LaLiga,2003-2004,,10000000
Njitap Geremi,Right-Back,24,Real Madrid,LaLiga,Chelsea,Premier League,2003-2004,,10000000
Julio Cruz,Centre-Forward,28,Bologna,Serie A,Inter,Serie A,2003-2004,,9500000
José Mari,Centre-Forward,24,AC Milan,Serie A,Villarreal CF,LaLiga,2003-2004,,9000000
David Dunn,Attacking Midfield,23,Blackburn,Premier League,Birmingham,Premier League,2003-2004,,8250000
Stephen Appiah,Central Midfield,22,Brescia,Serie A,Juventus,Serie A,2003-2004,,8000000
Nicola Legrottaglie,Centre-Back,26,Chievo Verona,Serie A,Juventus,Serie A,2003-2004,,7000000
Joseph Yobo,Centre-Back,22,Marseille,Ligue 1,Everton,Premier League,2003-2004,,6000000
Didier Drogba,Centre-Forward,25,Guingamp,Ligue 1,Marseille,Ligue 1,2003-2004,,6000000
Anthony Réveillère,Right-Back,23,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,5600000
Aleksey Smertin,Defensive Midfield,28,G. Bordeaux,Ligue 1,Chelsea,Premier League,2003-2004,,5500000
Rafael Márquez,Centre-Back,24,Monaco,Ligue 1,FC Barcelona,LaLiga,2003-2004,,5250000
Steve Finnan,Right-Back,27,Fulham,Premier League,Liverpool,Premier League,2003-2004,,5250000
Olivier Dacourt,Defensive Midfield,28,Leeds,Premier League,AS Roma,Serie A,2003-2004,,5250000
Albert Riera,Left Winger,21,RCD Mallorca,LaLiga,G. Bordeaux,Ligue 1,2003-2004,,5000000
Ariel Ibagaza,Attacking Midfield,26,RCD Mallorca,LaLiga,Atlético Madrid,LaLiga,2003-2004,,5000000
Amauri,Centre-Forward,23,FC Empoli,Serie A,Chievo Verona,Serie A,2003-2004,,4500000
Eric Djemba-Djemba,Defensive Midfield,22,FC Nantes,Ligue 1,Man Utd,Premier League,2003-2004,,4500000
Giovane Elber,Centre-Forward,31,Bayern Munich ,1.Bundesliga,Olympique Lyon,Ligue 1,2003-2004,,4200000
Dejan Stankovic,Central Midfield,25,Lazio,Serie A,Inter,Serie A,2003-2004,,4000000
Florent Malouda,Central Midfield,23,Guingamp,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,,4000000
Jens Lehmann,Goalkeeper,33,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2003-2004,,3500000
Danijel Ljuboja,Centre-Forward,25,R. Strasbourg,Ligue 1,Paris SG,Ligue 1,2003-2004,,3300000
Emmanuel Adebayor,Centre-Forward,19,FC Metz,Ligue 1,Monaco,Ligue 1,2003-2004,,3200000
Kiki Musampa,Left Winger,25,Málaga CF,LaLiga,Atlético Madrid,LaLiga,2003-2004,,3000000
Jérémie Bréchet,Centre-Back,24,Olympique Lyon,Ligue 1,Inter,Serie A,2003-2004,,3000000
Carl Cort,Centre-Forward,26,Newcastle,Premier League,Wolves,Premier League,2003-2004,,3000000
Simon Jentzsch,Goalkeeper,27,1860 Munich,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2003-2004,,2850000
Kily González,Left Midfield,28,Valencia CF,LaLiga,Inter,Serie A,2003-2004,,2500000
Thomas Christiansen,Centre-Forward,30,VfL Bochum,1.Bundesliga,Hannover 96,1.Bundesliga,2003-2004,,2500000
Tobias Rau,Left-Back,21,VfL Wolfsburg,1.Bundesliga,Bayern Munich ,1.Bundesliga,2003-2004,,2250000
Maik Taylor,Goalkeeper,32,Fulham,Premier League,Birmingham,Premier League,2003-2004,,2250000
Amdy Fayé,Defensive Midfield,26,AJ Auxerre,Ligue 1,Portsmouth,Premier League,2003-2004,,2230000
Luca Antonini,Left-Back,20,AC Milan,Serie A,Sampdoria,Serie A,2003-2004,,2000000
Nolberto Solano,Right Midfield,29,Newcastle,Premier League,Aston Villa,Premier League,2003-2004,,2000000
Vratislav Gresko,Left-Back,25,Parma,Serie A,Blackburn,Premier League,2003-2004,,1800000
Valdo,Right Winger,22,Real Madrid,LaLiga,CA Osasuna,LaLiga,2003-2004,,1800000
Emiliano Moretti,Centre-Back,22,Juventus,Serie A,Parma,Serie A,2003-2004,,1800000
Laurent Batlles,Attacking Midfield,28,SC Bastia,Ligue 1,Marseille,Ligue 1,2003-2004,,1650000
Martin Taylor,Centre-Back,24,Blackburn,Premier League,Birmingham,Premier League,2003-2004,,1600000
Cédric Barbosa,Left Winger,27,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2003-2004,,1500000
Niclas Jensen,Left-Back,28,Man City,Premier League,Bor. Dortmund,1.Bundesliga,2003-2004,,1250000
Habib Bèye,Right-Back,25,R. Strasbourg,Ligue 1,Marseille,Ligue 1,2003-2004,,1100000
Antoine Sibierski,Attacking Midfield,29,Lens,Ligue 1,Man City,Premier League,2003-2004,,1100000
Roberto Muzzi,Centre-Forward,31,Udinese Calcio,Serie A,Lazio,Serie A,2003-2004,,1100000
Moritz Volz,Right-Back,20,Arsenal,Premier League,Fulham,Premier League,2003-2004,,1000000
Didier Drogba,Centre-Forward,26,Marseille,Ligue 1,Chelsea,Premier League,2004-2005,,38500000
Wayne Rooney,Second Striker,18,Everton,Premier League,Man Utd,Premier League,2004-2005,,37000000
Émerson,Defensive Midfield,28,AS Roma,Serie A,Juventus,Serie A,2004-2005,,28000000
Samuel Eto'o,Centre-Forward,23,RCD Mallorca,LaLiga,FC Barcelona,LaLiga,2004-2005,,27000000
Wálter Samuel,Centre-Back,26,AS Roma,Serie A,Real Madrid,LaLiga,2004-2005,,25000000
Djibril Cissé,Centre-Forward,22,AJ Auxerre,Ligue 1,Liverpool,Premier League,2004-2005,,20000000
Jonathan Woodgate,Centre-Back,24,Newcastle,Premier League,Real Madrid,LaLiga,2004-2005,,18300000
Stefano Fiore,Attacking Midfield,29,Lazio,Serie A,Valencia CF,LaLiga,2004-2005,,17000000
Xabi Alonso,Defensive Midfield,22,Real Sociedad,LaLiga,Liverpool,Premier League,2004-2005,,16000000
Matteo Brighi,Central Midfield,23,Juventus,Serie A,AS Roma,Serie A,2004-2005,,16000000
Valeri Bojinov,Centre-Forward,18,Lecce,Serie A,Fiorentina,Serie A,2004-2005,13000000.0,14000000
Petr Cech,Goalkeeper,22,Stade Rennais,Ligue 1,Chelsea,Premier League,2004-2005,,13000000
Michael Owen,Centre-Forward,24,Liverpool,Premier League,Real Madrid,LaLiga,2004-2005,,12000000
Lúcio,Centre-Back,26,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2004-2005,,12000000
Matteo Brighi,Central Midfield,23,Parma,Serie A,Juventus,Serie A,2004-2005,,11500000
Marco Di Vaio,Centre-Forward,27,Juventus,Serie A,Valencia CF,LaLiga,2004-2005,,11000000
Jaap Stam,Centre-Back,31,Lazio,Serie A,AC Milan,Serie A,2004-2005,,10500000
Gabriel Heinze,Centre-Back,26,Paris SG,Ligue 1,Man Utd,Premier League,2004-2005,,10000000
Fabio Cannavaro,Centre-Back,30,Inter,Serie A,Juventus,Serie A,2004-2005,,10000000
Jérôme Rothen,Left Midfield,26,Monaco,Ligue 1,Paris SG,Ligue 1,2004-2005,,10000000
Péguy Luyindula,Centre-Forward,25,Olympique Lyon,Ligue 1,Marseille,Ligue 1,2004-2005,,10000000
Javier Chevantón,Centre-Forward,23,Lecce,Serie A,Monaco,Ligue 1,2004-2005,,10000000
Mario Yepes,Centre-Back,28,FC Nantes,Ligue 1,Paris SG,Ligue 1,2004-2005,,10000000
Emile Heskey,Centre-Forward,26,Liverpool,Premier League,Birmingham,Premier League,2004-2005,,9320000
Fernando Morientes,Centre-Forward,28,Real Madrid,LaLiga,Liverpool,Premier League,2004-2005,15000000.0,9250000
Torsten Frings,Defensive Midfield,27,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,2004-2005,,9250000
James Beattie,Centre-Forward,26,Southampton,Premier League,Everton,Premier League,2004-2005,10000000.0,9000000
Papa Bouba Diop,Defensive Midfield,26,Lens,Ligue 1,Fulham,Premier League,2004-2005,,9000000
Luis García,Right Winger,26,FC Barcelona,LaLiga,Liverpool,Premier League,2004-2005,,8750000
Éric Abidal,Left-Back,24,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2004-2005,,8500000
Ludovic Giuly,Right Winger,27,Monaco,Ligue 1,FC Barcelona,LaLiga,2004-2005,,8500000
Pierre-Alain Frau,Centre-Forward,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,2004-2005,,8500000
Edmílson,Centre-Back,27,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,2004-2005,,8000000
Goran Pandev,Second Striker,20,Inter,Serie A,Lazio,Serie A,2004-2005,,8000000
Tomás Ujfalusi,Centre-Back,26,Hamburger SV,1.Bundesliga,Fiorentina,Serie A,2004-2005,,7500000
Simone Perrotta,Attacking Midfield,26,Chievo Verona,Serie A,AS Roma,Serie A,2004-2005,,7200000
Philippe Mexès,Centre-Back,22,AJ Auxerre,Ligue 1,AS Roma,Serie A,2004-2005,,7000000
Fabrizio Miccoli,Centre-Forward,25,Juventus,Serie A,Fiorentina,Serie A,2004-2005,,7000000
Matteo Ferrari,Centre-Back,24,Parma,Serie A,AS Roma,Serie A,2004-2005,,7000000
Giampaolo Pazzini,Centre-Forward,20,Atalanta,Serie A,Fiorentina,Serie A,2004-2005,3000000.0,6500000
Giorgio Chiellini,Centre-Back,19,AS Livorno,Serie A,Fiorentina,Serie A,2004-2005,,6500000
Mido,Centre-Forward,21,Marseille,Ligue 1,AS Roma,Serie A,2004-2005,,6000000
Juliano Belletti,Right-Back,28,Villarreal CF,LaLiga,FC Barcelona,LaLiga,2004-2005,,6000000
Eduardo Costa,Defensive Midfield,21,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2004-2005,,6000000
Dario Dainelli,Centre-Back,25,Brescia,Serie A,Fiorentina,Serie A,2004-2005,,5500000
Sean Davis,Defensive Midfield,24,Fulham,Premier League,Spurs,Premier League,2004-2005,,5200000
Fabricio Coloccini,Centre-Back,23,AC Milan,Serie A,Dep. La Coruña,LaLiga,2004-2005,8000000.0,5000000
Miroslav Klose,Centre-Forward,26,1.FC K'lautern,1.Bundesliga,Werder Bremen,1.Bundesliga,2004-2005,,5000000
Mohamed Kallon,Centre-Forward,24,Inter,Serie A,Monaco,Ligue 1,2004-2005,,5000000
Simone Barone,Central Midfield,26,Parma,Serie A,US Palermo,Serie A,2004-2005,,5000000
Benoît Pedretti,Defensive Midfield,23,FC Sochaux,Ligue 1,Marseille,Ligue 1,2004-2005,,5000000
Sylvain Armand,Centre-Back,23,FC Nantes,Ligue 1,Paris SG,Ligue 1,2004-2005,,5000000
Robbie Savage,Central Midfield,30,Birmingham,Premier League,Blackburn,Premier League,2004-2005,5000000.0,4500000
Marcelo Bordon,Centre-Back,28,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,2004-2005,,4000000
Martin Laursen,Centre-Back,26,AC Milan,Serie A,Aston Villa,Premier League,2004-2005,,4000000
Ricardo Oliveira,Centre-Forward,24,Valencia CF,LaLiga,Real Betis,LaLiga,2004-2005,,4000000
Francis Jeffers,Centre-Forward,23,Arsenal,Premier League,Charlton,Premier League,2004-2005,,3900000
Daniel Van Buyten,Centre-Back,26,Marseille,Ligue 1,Hamburger SV,1.Bundesliga,2004-2005,,3800000
Nicky Butt,Central Midfield,29,Man Utd,Premier League,Newcastle,Premier League,2004-2005,,3750000
Paul Freier,Right Midfield,24,VfL Bochum,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2004-2005,,3500000
Ariza Makukula,Centre-Forward,23,FC Nantes,Ligue 1,Sevilla FC,LaLiga,2004-2005,,3500000
Thomas Gravesen,Defensive Midfield,28,Everton,Premier League,Real Madrid,LaLiga,2004-2005,6000000.0,3400000
Jesper Grönkjaer,Left Winger,26,Chelsea,Premier League,Birmingham,Premier League,2004-2005,,3300000
Danny Murphy,Central Midfield,27,Liverpool,Premier League,Charlton,Premier League,2004-2005,,3250000
Diego Forlán,Second Striker,25,Man Utd,Premier League,Villarreal CF,LaLiga,2004-2005,,3200000
Nigel Quashie,Central Midfield,26,Portsmouth,Premier League,Southampton,Premier League,2004-2005,2500000.0,3150000
Amdy Fayé,Defensive Midfield,27,Portsmouth,Premier League,Newcastle,Premier League,2004-2005,3000000.0,3000000
Pablo Ibáñez,Centre-Back,22,Albacete,LaLiga,Atlético Madrid,LaLiga,2004-2005,,3000000
Daniel Moreira,Second Striker,26,Lens,Ligue 1,Toulouse,Ligue 1,2004-2005,,3000000
Éric Carrière,Attacking Midfield,31,Olympique Lyon,Ligue 1,Lens,Ligue 1,2004-2005,,3000000
Stephen Carr,Right-Back,27,Spurs,Premier League,Newcastle,Premier League,2004-2005,,3000000
Fabrice Fiorèse,Right Winger,29,Paris SG,Ligue 1,Marseille,Ligue 1,2004-2005,,3000000
Tomasz Radzinski,Centre-Forward,30,Everton,Premier League,Fulham,Premier League,2004-2005,,3000000
Josemi,Centre-Back,24,Málaga CF,LaLiga,Liverpool,Premier League,2004-2005,,3000000
Peter Crouch,Centre-Forward,23,Aston Villa,Premier League,Southampton,Premier League,2004-2005,,3000000
Eric Djemba-Djemba,Defensive Midfield,23,Man Utd,Premier League,Aston Villa,Premier League,2004-2005,7000000.0,2540000
Júlio César,Goalkeeper,25,Flamengo,Série A,Inter,Serie A,2004-2005,2000000.0,2450000
Fabrizio Miccoli,Centre-Forward,25,Fiorentina,Serie A,Juventus,Serie A,2004-2005,15000000.0,2400000
Noé Pamarot,Centre-Back,25,OGC Nice,Ligue 1,Spurs,Premier League,2004-2005,,2400000
Mathieu Berson,Defensive Midfield,24,FC Nantes,Ligue 1,Aston Villa,Premier League,2004-2005,,2300000
Lomana LuaLua,Second Striker,23,Newcastle,Premier League,Portsmouth,Premier League,2004-2005,,2250000
Fitz Hall,Centre-Back,23,Southampton,Premier League,Crystal Palace,Premier League,2004-2005,,2250000
Vladimir Manchev,Centre-Forward,26,LOSC Lille,Ligue 1,Levante UD,LaLiga,2004-2005,,2200000
Adriano,Left-Back,20,Coritiba FC,Série A,Sevilla FC,LaLiga,2004-2005,,2100000
Jesper Grönkjaer,Left Winger,27,Birmingham,Premier League,Atlético Madrid,LaLiga,2004-2005,6500000.0,2000000
Jussiê,Attacking Midfield,21,Cruzeiro,Série A,Lens,Ligue 1,2004-2005,,2000000
Marco Caneira,Centre-Back,25,G. Bordeaux,Ligue 1,Valencia CF,LaLiga,2004-2005,,2000000
Vahid Hashemian,Centre-Forward,27,VfL Bochum,1.Bundesliga,Bayern Munich ,1.Bundesliga,2004-2005,,2000000
Claus Jensen,Attacking Midfield,27,Charlton,Premier League,Fulham,Premier League,2004-2005,,1900000
Jonathan Greening,Central Midfield,25,Middlesbrough,Premier League,West Brom,Premier League,2004-2005,,1750000
Élson,Attacking Midfield,23,Palmeiras,Série A,VfB Stuttgart,1.Bundesliga,2004-2005,1200000.0,1500000
Jérémie Bréchet,Centre-Back,24,Inter,Serie A,Real Sociedad,LaLiga,2004-2005,,1500000
Michael Essien,Defensive Midfield,22,Olympique Lyon,Ligue 1,Chelsea,Premier League,2005-2006,45000000.0,38000000
Shaun Wright-Phillips,Right Winger,23,Man City,Premier League,Chelsea,Premier League,2005-2006,9500000.0,31500000
Sergio Ramos,Centre-Back,19,Sevilla FC,LaLiga,Real Madrid,LaLiga,2005-2006,27000000.0,27000000
Michael Owen,Centre-Forward,25,Real Madrid,LaLiga,Newcastle,Premier League,2005-2006,22000000.0,25000000
Alberto Gilardino,Centre-Forward,23,Parma,Serie A,AC Milan,Serie A,2005-2006,20000000.0,25000000
Robinho,Left Winger,21,Santos FC,Série A,Real Madrid,LaLiga,2005-2006,25000000.0,24000000
Patrick Vieira,Defensive Midfield,29,Arsenal,Premier League,Juventus,Serie A,2005-2006,35000000.0,20000000
Júlio Baptista,Attacking Midfield,23,Sevilla FC,LaLiga,Real Madrid,LaLiga,2005-2006,25000000.0,20000000
Albert Luque,Left Winger,27,Dep. La Coruña,LaLiga,Newcastle,Premier League,2005-2006,20000000.0,20000000
Wálter Samuel,Centre-Back,27,Real Madrid,LaLiga,Inter,Serie A,2005-2006,17000000.0,16000000
Fred,Centre-Forward,21,Cruzeiro,Série A,Olympique Lyon,Ligue 1,2005-2006,7500000.0,15600000
Jermaine Jenas,Central Midfield,22,Newcastle,Premier League,Spurs,Premier League,2005-2006,9000000.0,15000000
Aleksandr Hleb,Attacking Midfield,24,VfB Stuttgart,1.Bundesliga,Arsenal,Premier League,2005-2006,8500000.0,15000000
Asier del Horno,Left-Back,24,Athletic Bilbao,LaLiga,Chelsea,Premier League,2005-2006,12000000.0,12000000
David Pizarro,Central Midfield,25,Udinese Calcio,Serie A,Inter,Serie A,2005-2006,12000000.0,12000000
David Villa,Centre-Forward,23,Real Zaragoza,LaLiga,Valencia CF,LaLiga,2005-2006,12000000.0,12000000
Mohamed Sissoko,Defensive Midfield,20,Valencia CF,LaLiga,Liverpool,Premier League,2005-2006,4000000.0,12000000
Tiago,Central Midfield,24,Chelsea,Premier League,Olympique Lyon,Ligue 1,2005-2006,10000000.0,10100000
Luca Toni,Centre-Forward,28,US Palermo,Serie A,Fiorentina,Serie A,2005-2006,15000000.0,10000000
Emmanuel Adebayor,Centre-Forward,21,Monaco,Ligue 1,Arsenal,Premier League,2005-2006,7500000.0,10000000
Martin Petrov,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Atlético Madrid,LaLiga,2005-2006,7000000.0,10000000
Pepe Reina,Goalkeeper,22,Villarreal CF,LaLiga,Liverpool,Premier League,2005-2006,4500000.0,9800000
Yakubu Aiyegbeni,Centre-Forward,22,Portsmouth,Premier League,Middlesbrough,Premier League,2005-2006,9500000.0,9750000
Mateja Kezman,Centre-Forward,26,Chelsea,Premier League,Atlético Madrid,LaLiga,2005-2006,13500000.0,9000000
Andy van der Meyde,Right Winger,25,Inter,Serie A,Everton,Premier League,2005-2006,12500000.0,9000000
Scott Parker,Central Midfield,24,Chelsea,Premier League,Newcastle,Premier League,2005-2006,11000000.0,9000000
Milan Baros,Centre-Forward,23,Liverpool,Premier League,Aston Villa,Premier League,2005-2006,17500000.0,8840000
Marek Jankulovski,Left-Back,28,Udinese Calcio,Serie A,AC Milan,Serie A,2005-2006,20000000.0,8500000
Valérien Ismaël,Centre-Back,29,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2005-2006,8500000.0,8500000
Bonaventure Kalou,Right Winger,27,AJ Auxerre,Ligue 1,Paris SG,Ligue 1,2005-2006,7500000.0,8500000
Patrice Evra,Left-Back,24,Monaco,Ligue 1,Man Utd,Premier League,2005-2006,6500000.0,8000000
Giorgio Chiellini,Centre-Back,20,Fiorentina,Serie A,Juventus,Serie A,2005-2006,9000000.0,7700000
Jon Dahl Tomasson,Centre-Forward,28,AC Milan,Serie A,VfB Stuttgart,1.Bundesliga,2005-2006,15000000.0,7500000
Craig Bellamy,Left Winger,26,Newcastle,Premier League,Blackburn,Premier League,2005-2006,9000000.0,7500000
Benoît Pedretti,Defensive Midfield,24,Marseille,Ligue 1,Olympique Lyon,Ligue 1,2005-2006,9000000.0,7500000
Domenico Morfeo,Attacking Midfield,29,Inter,Serie A,Parma,Serie A,2005-2006,6000000.0,7500000
Mamadou Niang,Centre-Forward,25,R. Strasbourg,Ligue 1,Marseille,Ligue 1,2005-2006,5000000.0,7000000
Kevin Kuranyi,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,2005-2006,8000000.0,6900000
Per Kröldrup,Centre-Back,25,Udinese Calcio,Serie A,Everton,Premier League,2005-2006,7000000.0,6800000
Frédéric Kanouté,Centre-Forward,27,Spurs,Premier League,Sevilla FC,LaLiga,2005-2006,7500000.0,6500000
John Utaka,Left Winger,23,Lens,Ligue 1,Stade Rennais,Ligue 1,2005-2006,7000000.0,6000000
Camel Meriem,Attacking Midfield,25,G. Bordeaux,Ligue 1,Monaco,Ligue 1,2005-2006,6000000.0,6000000
Benjani,Centre-Forward,27,AJ Auxerre,Ligue 1,Portsmouth,Premier League,2005-2006,4000000.0,6000000
Antonio Cassano,Second Striker,23,AS Roma,Serie A,Real Madrid,LaLiga,2005-2006,24000000.0,5500000
Phil Neville,Right-Back,28,Man Utd,Premier League,Everton,Premier League,2005-2006,5000000.0,5300000
Simon Davies,Right Midfield,25,Spurs,Premier League,Everton,Premier League,2005-2006,5500000.0,5250000
Emre Belözoglu,Central Midfield,24,Inter,Serie A,Newcastle,Premier League,2005-2006,12000000.0,5000000
Torsten Frings,Defensive Midfield,28,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2005-2006,9000000.0,5000000
Maxi Rodríguez,Left Winger,24,Espanyol,LaLiga,Atlético Madrid,LaLiga,2005-2006,7000000.0,5000000
Sylvain Monsoreau,Centre-Back,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,2005-2006,5000000.0,5000000
Rafinha,Right-Back,19,Coritiba FC,Série A,FC Schalke 04,1.Bundesliga,2005-2006,4500000.0,5000000
Jérémy Mathieu,Centre-Back,21,FC Sochaux,Ligue 1,Toulouse,Ligue 1,2005-2006,3500000.0,5000000
Barreto,Second Striker,19,Treviso,Serie A,Udinese Calcio,Serie A,2005-2006,1000000.0,5000000
El-Hadji Diouf,Centre-Forward,24,Liverpool,Premier League,Bolton,Premier League,2005-2006,6500000.0,4800000
Mikael Forssell,Centre-Forward,24,Chelsea,Premier League,Birmingham,Premier League,2005-2006,7000000.0,4500000
Nathan Ellington,Centre-Forward,24,Wigan,Premier League,West Brom,Premier League,2005-2006,2250000.0,4500000
Emiliano Bonazzoli,Centre-Forward,26,Reggina,Serie A,Parma,Serie A,2005-2006,4000000.0,4150000
Per Kröldrup,Centre-Back,26,Everton,Premier League,Fiorentina,Serie A,2005-2006,7250000.0,4000000
